index,x,y,dx,dy
248,-115.3119965,35.8787994,-0.0239944,-0.0594025
249,-115.3000031,35.8809013,-0.0310059,-0.0573006
250,-115.2900009,35.8834991,-0.0410004,-0.0547028
251,-115.2819977,35.8858986,-0.0519943,-0.0523033
252,-115.2529984,35.8889008,-0.0419998,-0.0493011
253,-115.2099991,35.8875008,-0.0179977,-0.0507011
254,-115.1839981,35.8908005,-0.0110016,-0.0474014
255,-115.163002,35.8944016,-0.0090027,-0.0438004
256,-115.1419983,35.8981018,-0.0069962,-0.0401001
257,-115.1210022,35.9012985,-0.0050049,-0.0369034
258,-115.1009979,35.9031982,-0.0049973,-0.0350037
259,-115.0849991,35.9045982,-0.0079956,-0.0336037
260,-115.0680008,35.9063988,-0.0100021,-0.0318031
261,-115.052002,35.9085999,-0.0130005,-0.0296021
262,-115.038002,35.9109001,-0.0180054,-0.0273018
263,-115.026001,35.9137001,-0.0250015,-0.0245018
264,-115.0039978,35.9179993,-0.0219955,-0.0202026
265,-114.9789963,35.9188004,-0.0159988,-0.0194016
266,-114.9550018,35.9211998,-0.012001,-0.0170021
267,-114.9329987,35.9236984,-0.0089951,-0.0145035
268,-114.913002,35.9255981,-0.0080032,-0.0126038
269,-114.8939972,35.9266014,-0.0079956,-0.0116005
270,-115.4120026,35.9090004,0.0289993,-0.0477982
271,-115.3909988,35.8967018,0.0299988,-0.0600967
272,-115.3769989,35.8899994,0.0250015,-0.0667992
273,-115.362999,35.8852997,0.0200043,-0.0714989
274,-115.348999,35.8835983,0.0149994,-0.0732002
275,-115.336998,35.8847008,0.0080032,-0.0720978
276,-115.3330002,35.8865013,-0.0070038,-0.0702972
277,-115.3249969,35.8848,-0.0179977,-0.0719986
278,-115.310997,35.8847008,-0.022995,-0.0720978
279,-115.2949982,35.8861008,-0.026001,-0.0706978
280,-115.2850037,35.8894997,-0.0360031,-0.0672989
281,-115.276001,35.8916016,-0.0459976,-0.065197
282,-115.2590027,35.8916016,-0.0480042,-0.065197
283,-115.2170029,35.8941994,-0.0250015,-0.0625992
